il kodu,il,Vergi-Turu,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
65,VAN,KURUMLARVERGİSİ,1894,1993,2116,2281,2389,2513,2704,2898,3000,3161,3185,3513,3782,3978,4144,4472,4752,4935,4984,5307,5632,5945,6532,6934
66,YOZGAT,KURUMLARVERGİSİ,1406,1426,1435,1502,1537,1511,1595,1661,1720,1771,1750,1730,1738,1715,1702,1685,1745,1846,1880,1991,2073,2218,2292,2355
67,ZONGULDAK,KURUMLARVERGİSİ,2046,2107,2189,2308,2243,2430,2564,2642,2708,2765,2804,2740,2673,2511,2407,2409,2507,2636,2734,2787,2903,3062,3232,3305
68,AKSARAY,KURUMLARVERGİSİ,1244,1272,1291,1384,1488,1592,1721,1785,1872,2008,2141,2069,2103,2160,2184,2167,2368,2558,2734,3053,3317,3688,4024,4302
69,BAYBURT,KURUMLARVERGİSİ,155,157,162,168,187,211,231,254,271,281,286,287,276,251,256,272,294,308,315,322,342,347,353,351
70,KARAMAN,KURUMLARVERGİSİ,892,884,904,942,918,956,1015,1042,1059,1104,1154,1169,1189,1282,1317,1314,1373,1469,1504,1623,1752,1875,1959,2046
71,KIRIKKALE,KURUMLARVERGİSİ,1209,1259,1291,1344,1289,1295,1323,1324,1320,1317,1314,1275,1250,1255,1243,1248,1269,1334,1392,1489,1524,1571,1619,1682
72,BATMAN,KURUMLARVERGİSİ,1296,1330,1385,1489,1601,1683,1771,1859,1979,2149,2148,2284,2237,2380,2730,2734,2883,3034,3101,3686,4073,4480,4745,5035
73,ŞIRNAK,KURUMLARVERGİSİ,1448,1458,1486,1563,1574,1660,1718,1823,1925,2079,2174,2265,2272,2283,2402,2430,2451,2604,2572,2746,3057,3449,3789,3790
74,BARTIN,KURUMLARVERGİSİ,487,492,528,549,578,580,632,654,666,680,677,658,665,642,663,627,631,659,687,727,763,814,840,892
75,ARDAHAN,KURUMLARVERGİSİ,189,168,170,170,164,157,175,183,192,206,214,215,221,217,238,235,261,281,280,300,311,325,335,339
76,IĞDIR,KURUMLARVERGİSİ,601,618,626,667,689,703,686,706,652,700,765,774,809,841,818,802,814,869,896,969,1014,1106,1161,1208
77,YALOVA,KURUMLARVERGİSİ,1283,1340,1384,1460,1411,1505,1623,1740,1773,1824,1869,1835,1842,1860,1920,1958,2129,2347,2564,2863,3076,3512,3818,4027
78,KARABÜK,KURUMLARVERGİSİ,909,940,968,1058,982,1019,1061,1082,1059,1092,1147,1153,1200,1198,1202,1166,1211,1246,1259,1305,1343,1394,1446,1501
79,KİLİS,KURUMLARVERGİSİ,187,191,197,222,220,234,255,276,298,318,344,370,396,432,474,512,599,778,814,891,966,986,1028,1119
80,OSMANİYE,KURUMLARVERGİSİ,1078,1102,1157,1316,1269,1382,1481,1577,1552,1620,1738,1769,1778,1805,1902,1912,1985,2071,2151,2290,2464,2683,2805,2934
81,DÜZCE,KURUMLARVERGİSİ,1795,1863,1928,2079,2054,2074,2149,2219,2261,2237,2244,2259,2187,2188,2210,2161,2217,2409,2554,2760,2992,3250,3458,3671
1,ADANA,KATMADEĞERVERGİSİ,66783,67711,48252,50357,50725,51245,51208,51744,51655,52618,53494,54454,55528,55296,56051,56912,59180,60726,63152,68188,72825,78870,84029,88190
2,ADIYAMAN,KATMADEĞERVERGİSİ,15147,14133,7016,7363,7475,7561,7613,7631,7491,7652,7808,7907,8064,7967,8059,8334,8676,9262,9598,10691,11688,12705,13433,14973
3,AFYON,KATMADEĞERVERGİSİ,24954,25071,14125,14850,14966,15315,15510,15645,15488,15362,15225,15441,15709,15540,15817,16121,16768,17501,18052,18989,20121,21414,22902,24278
4,AĞRI,KATMADEĞERVERGİSİ,8575,8407,4668,4916,5058,5286,5321,5175,5161,5231,5296,5311,5320,5288,5494,5571,5904,6162,6430,6753,7085,7410,7703,8163
5,AMASYA,KATMADEĞERVERGİSİ,12011,11938,6930,7148,7194,7232,7267,7343,7356,7412,7471,7651,7864,7622,7668,7673,7852,7984,8158,8601,9060,9608,10192,10758
6,ANKARA,KATMADEĞERVERGİSİ,187433,190763,169299,175600,171897,176992,181174,180245,181199,184183,186699,190628,195093,196827,203098,208150,215929,221342,226954,241404,259769,274742,292054,303420
7,ANTALYA,KATMADEĞERVERGİSİ,97512,98442,73703,79233,84302,86370,89757,91749,91244,91653,92798,93878,96300,97855,101426,102181,105250,109599,115081,124407,135434,149193,162067,169491
8,ARTVİN,KATMADEĞERVERGİSİ,7782,7763,5060,5134,5203,5224,5233,5179,5155,5090,4985,4973,4985,4846,4831,4867,5086,5328,5452,5701,6010,6424,6755,6955
9,AYDIN,KATMADEĞERVERGİSİ,45304,45588,25695,26543,27321,28432,29318,29565,29490,28902,28820,29322,29699,28833,29555,30052,31334,32199,33046,35019,37382,39982,42363,44547
10,BALIKESİR,KATMADEĞERVERGİSİ,53952,53962,31689,32609,32295,32393,32494,32065,31364,31490,31866,32004,32117,31362,31809,32342,33618,34988,35375,37238,39387,41653,44241,46714
11,BİLECİK,KATMADEĞERVERGİSİ,6873,6859,4925,5313,5423,5443,5495,5388,5368,5321,5258,5306,5361,5256,5283,5269,5467,5624,5738,5969,6173,6444,6756,7036
12,BİNGÖL,KATMADEĞERVERGİSİ,4936,4894,2648,2754,2694,2702,2843,2835,2836,2950,3127,3299,3391,3482,3704,3948,4250,4513,4555,4803,5134,5238,5468,5763
13,BİTLİS,KATMADEĞERVERGİSİ,6283,6251,3360,3548,3626,3659,3604,3722,3848,3914,4045,4148,4251,4224,4274,4398,4525,4676,4772,5129,5479,5907,6432,7107
14,BOLU,KATMADEĞERVERGİSİ,11151,11138,8746,8909,8686,8637,8725,8567,8390,8406,8409,8524,8666,8489,8589,8555,8833,9045,9246,9489,9792,10299,10822,11302
15,BURDUR,KATMADEĞERVERGİSİ,11934,11873,7258,7548,7870,8167,8282,8340,8297,8314,8284,8444,8544,8362,8474,8594,8937,9283,9521,9951,10336,10837,11357,11685
16,BURSA,KATMADEĞERVERGİSİ,101215,101932,81918,84710,84467,87090,89689,90385,89225,90725,91114,93927,96067,97235,100417,103921,108701,113677,117607,125877,134721,143268,149241,154953
17,ÇANAKKALE,KATMADEĞERVERGİSİ,22497,22581,12489,13214,13239,13757,14267,14545,14738,14942,15171,15531,15602,15312,15538,16067,16905,17720,18203,19289,20586,22113,23587,25057
18,ÇANKIRI,KATMADEĞERVERGİSİ,4755,4756,3080,3095,3099,3122,3168,3130,3092,3167,3217,3206,3270,3169,3271,3353,3388,3493,3598,3742,3942,4268,4631,4921
19,ÇORUM,KATMADEĞERVERGİSİ,20176,20065,12659,12883,12843,13092,13419,13397,13168,13275,13157,13140,13188,12524,12672,12793,13159,13540,13766,14575,15265,15766,16353,17150
20,DENİZLİ,KATMADEĞERVERGİSİ,41622,42029,25372,26607,26448,27294,27989,27931,27964,28070,28408,28808,29817,29311,29555,29908,31135,32041,32954,35125,37427,40041,42861,45443
21,DİYARBAKIR,KATMADEĞERVERGİSİ,29723,29862,16274,17176,16178,16711,17317,17738,18260,19139,19624,20199,20845,20932,21597,20819,21410,22751,23758,26291,28901,32303,35431,38174
22,EDİRNE,KATMADEĞERVERGİSİ,18728,18565,10501,10988,10887,11123,11298,11293,11357,11398,11622,11806,11852,10911,10839,11051,11548,11922,12285,12665,13308,14109,15481,16348
23,ELAZIĞ,KATMADEĞERVERGİSİ,16811,16856,10472,10660,10502,10629,10871,10857,10870,11042,11188,11270,11401,11053,11197,11407,11772,12202,12439,13323,14299,15392,16435,17514
24,ERZİNCAN,KATMADEĞERVERGİSİ,6825,6857,4040,4180,4192,4254,4311,4271,4309,4378,4482,4580,4622,4477,4529,4632,4753,4928,4946,5181,5314,5616,5832,6125
25,ERZURUM,KATMADEĞERVERGİSİ,20687,20567,12400,13199,13027,12979,12897,12688,12642,12487,12500,12469,12467,12129,12170,12275,12606,12980,13029,13698,14273,15186,15970,17066
26,ESKİŞEHİR,KATMADEĞERVERGİSİ,27427,27277,22342,23291,23518,24020,24137,23966,23741,23928,24171,24718,25701,25677,26625,27375,28092,28969,29669,31285,32958,34691,36217,37882
27,GAZİANTEP,KATMADEĞERVERGİSİ,49985,52146,32079,36490,39233,41449,42785,44308,43579,44522,45681,45995,48628,50578,51872,52351,54433,55991,58096,63604,67968,73324,77838,82427
28,GİRESUN,KATMADEĞERVERGİSİ,16479,16440,7831,8005,8025,8097,8241,8381,8471,8749,8746,8827,8972,8612,8610,8768,9095,9620,9851,10397,11026,11664,12631,13387
29,GÜMÜŞHANE,KATMADEĞERVERGİSİ,4332,4355,2215,2291,2347,2282,2269,2272,2284,2315,2358,2413,2476,2499,2435,2462,2517,2584,2654,2759,2871,2965,3119,3167
30,HAKKARİ,KATMADEĞERVERGİSİ,3242,3252,1735,1810,1907,2047,2136,2174,2214,2275,2284,2399,2407,2446,2522,2711,2959,3188,3246,3512,3661,3811,4119,4225
31,HATAY,KATMADEĞERVERGİSİ,47823,47020,28070,28962,28725,29154,29244,29105,28592,28386,29293,30280,31373,31821,32084,32114,32736,35189,36555,38721,41197,44080,45455,48879
32,ISPARTA,KATMADEĞERVERGİSİ,14458,14671,8989,9509,9531,9704,9895,10041,10224,10489,10686,10883,11096,10997,11206,11245,11633,12016,12358,13011,13692,14535,15504,16257
33,İÇEL,KATMADEĞERVERGİSİ,64356,65230,43911,46562,47175,46432,46751,47072,46899,46881,47591,48044,49100,48648,49718,50690,53125,55710,57925,62607,65633,70314,74945,78717
34,İSTANBUL,KATMADEĞERVERGİSİ,704427,702549,656707,680603,608218,633107,655398,648099,640509,650458,662811,682562,685579,702390,719120,734599,764125,786448,813016,875555,950836,998271,1035101,1057346
35,İZMİR,KATMADEĞERVERGİSİ,177844,180612,149658,158451,156956,159854,162054,161972,159180,160012,158933,161555,162502,161338,163587,167194,173159,178751,183924,195292,208471,221195,233058,241529
36,KARS,KATMADEĞERVERGİSİ,8185,8156,4190,4534,4559,4489,4566,4395,4372,4179,4055,4077,4107,3910,4025,4042,4155,4251,4261,4447,4638,4895,5116,5540
37,KASTAMONU,KATMADEĞERVERGİSİ,15358,15107,9372,9781,9914,9884,10076,9973,9791,9873,9905,9901,9972,9510,9518,9568,9724,10008,10223,10618,11077,11923,12470,12803
38,KAYSERİ,KATMADEĞERVERGİSİ,35030,35337,27903,29112,29868,30838,32095,32412,32635,33318,33778,34607,35468,36414,37947,39447,41294,42682,44139,47782,51441,55309,57828,60128
39,KIRKLARELİ,KATMADEĞERVERGİSİ,16125,15980,9557,9829,10020,10103,10084,10013,9981,9959,10080,10241,10324,9950,10022,10023,10229,10610,10754,11344,11962,12561,13284,13925
40,KIRŞEHİR,KATMADEĞERVERGİSİ,7659,7816,4841,5005,5033,5035,5056,4952,4898,4891,4840,4885,4812,4290,4367,4614,4882,5031,5136,5405,5624,5972,6295,6625
41,KOCAELİ,KATMADEĞERVERGİSİ,51994,53847,43346,45315,48431,50046,51347,52312,52668,53270,54096,55940,57407,58499,59029,59100,62243,64242,65387,69486,74923,79818,83662,88218
42,KONYA,KATMADEĞERVERGİSİ,73203,73975,55140,57632,57994,59841,61097,60499,59826,59836,59933,61137,62702,63513,65539,66672,69271,71760,74378,79298,84308,89826,94980,100402
43,KÜTAHYA,KATMADEĞERVERGİSİ,21391,21489,12569,12952,12736,12806,12838,12774,12504,12509,12415,12535,12642,12046,11994,12062,12462,12911,12955,13603,14235,15175,16244,17223
44,MALATYA,KATMADEĞERVERGİSİ,23841,23812,14303,15073,14835,14644,14667,14705,14586,14892,14877,14848,14981,14639,14550,14713,15421,16027,16235,17398,18607,19639,20027,21593
45,MANİSA,KATMADEĞERVERGİSİ,52155,52589,30371,31328,31418,32121,32717,32672,32319,31930,32378,33229,33776,33180,33422,33839,35624,36875,37558,40000,42265,44789,47442,49722
46,KAHRAMANMARAŞ,KATMADEĞERVERGİSİ,29018,29485,15320,16153,16068,16744,17041,17218,16873,16714,16921,17148,17593,17625,18354,19262,20244,21346,21832,23419,25284,27529,29417,32189
47,MARDİN,KATMADEĞERVERGİSİ,27503,26875,18853,16135,15324,14178,13184,12700,12176,11682,11068,11047,11342,11453,11411,11222,11765,12857,13402,14838,16581,19089,20625,21891
48,MUĞLA,KATMADEĞERVERGİSİ,47395,48521,32859,35562,36822,37600,39045,39945,40271,40546,40501,41133,41538,40735,41665,42117,44261,46672,48555,51152,54971,59422,63961,68324
49,MUŞ,KATMADEĞERVERGİSİ,5928,5786,3185,3387,3548,3709,3812,3678,3805,3947,4061,4237,4404,4523,4686,4675,4745,5014,5022,5304,5666,6015,6251,6741
50,NEVŞEHİR,KATMADEĞERVERGİSİ,11892,12227,7748,8136,8059,8311,8433,8253,8221,8267,8420,8670,8816,8974,9243,9470,9706,10136,10677,11155,11821,12932,13891,14895
51,NİĞDE,KATMADEĞERVERGİSİ,10358,10558,6393,6707,6787,6862,6769,6713,6503,6510,6501,6603,6805,6828,6939,7229,7705,8153,8620,9346,10077,10874,11755,12416
52,ORDU,KATMADEĞERVERGİSİ,24574,24465,12183,12428,12515,12716,13041,13255,13379,13370,13387,13503,13649,13044,13082,13262,13805,14591,14721,15751,16865,17886,19190,20199
53,RİZE,KATMADEĞERVERGİSİ,14146,14060,7771,8205,8257,8496,8512,8416,8384,8396,8498,8590,8582,8385,8400,8541,8694,8916,9151,9359,9774,10263,10929,11481
54,SAKARYA,KATMADEĞERVERGİSİ,37629,37484,22329,23219,23343,23581,23760,23807,23583,23341,23237,24021,24808,24723,25356,25249,26198,27366,28008,29595,31773,34754,37976,40513
55,SAMSUN,KATMADEĞERVERGİSİ,41625,41981,26176,27476,27502,27837,28266,28056,27880,28278,28622,29122,29800,29561,30243,31023,32116,33350,33877,35907,38435,41134,43320,45798
56,SİİRT,KATMADEĞERVERGİSİ,5191,5108,2506,2576,2360,2302,2393,2401,2443,2492,2532,2623,2749,2782,2857,2980,3199,3355,3495,3742,4078,4260,4506,4767
57,SİNOP,KATMADEĞERVERGİSİ,7907,7909,4472,4518,4484,4510,4470,4436,4394,4421,4479,4493,4575,4511,4604,4673,4865,5058,5225,5458,5755,6088,6809,7072
58,SİVAS,KATMADEĞERVERGİSİ,19013,19120,11655,11909,11599,11791,12070,12101,11977,11913,11856,11984,12172,11941,12149,12352,12806,13297,13560,14215,14990,15839,16672,17341
59,TEKİRDAĞ,KATMADEĞERVERGİSİ,31079,31568,21379,22455,22483,23690,24541,24691,25142,25108,25852,27021,27970,27937,28797,29732,31038,32458,33051,35245,37708,40779,43518,46300
60,TOKAT,KATMADEĞERVERGİSİ,19574,19256,10163,10968,10698,10823,10918,10806,10559,10491,10631,10677,10776,10189,10176,10341,10772,11129,11413,12197,12908,13767,14659,15416
61,TRABZON,KATMADEĞERVERGİSİ,29452,29121,17041,17083,16813,17300,17571,17538,17545,17730,17856,18171,18269,18006,18194,18564,19214,19980,20470,21371,22511,23745,25035,26116
62,TUNCELİ,KATMADEĞERVERGİSİ,2338,2383,1223,1272,1233,1245,1295,1241,1249,1262,1290,1336,1355,1270,1274,1269,1328,1401,1439,1520,1618,1678,1754,1900
63,ŞANLIURFA,KATMADEĞERVERGİSİ,40724,42455,26091,26976,27348,27647,27177,27117,27532,28476,29242,30443,31580,32800,33783,33804,34095,35034,36263,39309,43459,49285,54129,57766
64,UŞAK,KATMADEĞERVERGİSİ,13491,13821,8797,9216,9290,9357,9287,9219,9117,9114,9110,9193,9428,9152,9197,9400,9737,10157,10324,10961,11473,12393,13098,13710
65,VAN,KATMADEĞERVERGİSİ,18762,19633,10477,10423,11509,11988,12344,13042,13133,12994,12733,13380,13938,14304,14505,15134,15738,16296,16507,17787,19009,19872,21165,22782
66,YOZGAT,KATMADEĞERVERGİSİ,15074,15213,9075,9378,9615,9874,10075,9938,9869,9800,9678,9687,9670,9219,9228,9180,9404,9701,9996,10541,11074,11924,12897,13581
67,ZONGULDAK,KATMADEĞERVERGİSİ,24805,24948,14310,14642,14439,14463,14418,14469,13942,13754,13535,13433,13308,12346,11904,11920,12123,12298,12415,12828,13564,14197,14813,15469
68,AKSARAY,KATMADEĞERVERGİSİ,11524,11477,6660,7166,7667,8019,8151,8174,8295,8439,8576,8607,8926,9259,9693,9689,10275,10792,11305,12233,13222,14419,15354,16251
69,BAYBURT,KATMADEĞERVERGİSİ,2362,2348,1225,1232,1245,1237,1225,1235,1239,1256,1245,1256,1260,1210,1194,1211,1279,1353,1428,1495,1582,1607,1634,1683
70,KARAMAN,KATMADEĞERVERGİSİ,7976,8014,4325,4604,4665,4747,4872,4920,4865,4952,5125,5313,5486,5562,5638,5698,5989,6354,6417,6845,7332,7683,8087,8687
71,KIRIKKALE,KATMADEĞERVERGİSİ,9159,9412,6330,6466,6367,6293,6218,6143,6093,6035,5948,5932,5988,5747,5749,5784,5957,6105,6202,6552,6928,7323,7720,7929
72,BATMAN,KATMADEĞERVERGİSİ,10501,10588,6102,6331,6348,6213,6250,6355,6483,6855,6699,7156,7111,7441,7997,8193,8620,8876,9034,10310,11321,12476,13233,14262
73,ŞIRNAK,KATMADEĞERVERGİSİ,19773,19473,16747,16211,16081,15498,14201,13819,13277,12495,10631,9774,8484,8014,8029,7482,7665,7768,6867,7095,7597,8416,9033,9217
74,BARTIN,KATMADEĞERVERGİSİ,8291,8099,4202,4394,4377,4274,4337,4300,4274,4247,4193,4209,4232,4001,3977,3968,4055,4221,4248,4445,4670,4901,5098,5303
75,ARDAHAN,KATMADEĞERVERGİSİ,3392,3177,1665,1623,1624,1575,1557,1516,1481,1506,1480,1483,1492,1413,1408,1437,1477,1525,1523,1621,1675,1714,1726,1722
76,IĞDIR,KATMADEĞERVERGİSİ,8460,8559,5868,5062,4898,4643,4462,4352,4150,4165,4006,3941,3898,3660,3454,3299,3263,3367,3416,3790,3904,3870,4019,4548
77,YALOVA,KATMADEĞERVERGİSİ,9827,10193,7241,7336,6963,7059,7287,7486,7487,7660,7671,7762,7909,7971,8234,8429,8932,9231,9590,10171,10841,11676,12578,13372
78,KARABÜK,KATMADEĞERVERGİSİ,9437,9389,6530,6580,6273,6258,6312,6278,6200,6146,6142,6205,6298,6066,6083,6052,6280,6443,6477,6639,6978,7352,7765,8070
79,KİLİS,KATMADEĞERVERGİSİ,4598,4536,1914,1909,1930,1973,1911,1858,1924,1948,1944,2046,2204,2334,2474,2525,2697,2963,3073,3218,3402,3541,3665,4027
80,OSMANİYE,KATMADEĞERVERGİSİ,13639,14280,7578,8415,8078,8287,8473,8330,8326,8438,8753,9128,9400,9474,9730,9883,10164,10539,10948,11811,12745,13903,14770,15871
81,DÜZCE,KATMADEĞERVERGİSİ,15426,15553,8848,9590,8844,8715,8724,8722,8639,8508,8363,8592,8569,8668,8852,8990,9234,9700,10013,10692,11377,12422,13515,14441
1,ADANA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,21326,21148,21513,21251,20520,20004,19379,18621,18164,17964,17572,17199,16856,17634,17478,17447,17744,17423,16737,17214,18641,18939,19213,19048
2,ADIYAMAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,7976,7359,7664,7691,7709,8331,8273,8325,8319,8577,8450,8521,8363,8789,8934,9191,9542,9718,10080,10504,11174,11365,11066,11329
3,AFYON,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,11515,11570,11880,12181,12470,12284,12029,11650,11601,10825,10289,9943,9776,10012,10123,10189,10407,10562,10768,11407,12026,12417,12363,12227
4,AĞRI,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4054,4000,4393,4626,4809,4876,4985,5000,5032,5008,4876,4746,4441,4423,4430,4636,5574,5575,5634,5366,5362,5149,4962,4723
5,AMASYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5183,5152,5217,5103,4968,4748,4702,4537,4483,4333,4186,4074,4069,4365,4538,4633,4757,4834,4856,5076,5362,5509,5474,5311
6,ANKARA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,25221,25243,25058,24591,23587,23507,23191,22673,22608,22274,21559,20699,20375,21948,22573,23127,23529,23551,24058,24355,25182,25460,25840,25516
7,ANTALYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,28350,28014,28134,28621,29546,28305,27412,26706,26461,26249,25905,25792,25520,25706,25110,25363,26230,26796,27695,28990,30943,31396,30988,30587
8,ARTVİN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2610,2672,2644,2578,2600,2591,2531,2466,2517,2472,2451,2440,2363,2560,2651,2734,2752,2777,2814,2784,2880,2872,2763,2670
9,AYDIN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,20549,20584,20506,21049,21236,20761,20229,19747,19469,19381,19296,19491,19295,20672,21289,21959,22741,22899,23399,24555,25596,26201,26353,26195
10,BALIKESİR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,23041,23030,23235,23959,23804,22914,22079,21168,20868,20785,20431,20030,19472,20614,20991,21467,22112,22202,22506,23475,24201,24313,23742,23503
11,BİLECİK,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2136,2119,2114,2196,2135,2052,1965,1919,1887,1866,1735,1702,1672,1742,1818,1812,1843,1866,1934,1974,2027,1984,1800,1787
12,BİNGÖL,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2431,2393,2490,2622,2360,2387,2407,2468,2524,2464,2393,2436,2467,2574,2691,2811,2930,2897,2978,3032,3114,3000,2952,2825
13,BİTLİS,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2896,2925,3045,3047,3121,3154,3149,3225,3314,3450,3451,3507,3557,3599,3671,3783,4091,4088,4146,4280,4403,4311,4442,4364
14,BOLU,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2749,2627,2603,2551,2555,2394,2329,2195,2186,2139,2076,2134,2153,2452,2582,2711,2840,2889,2944,3075,3152,3092,3017,2990
15,BURDUR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5132,5018,4969,4955,5167,4998,4826,4692,4676,4512,4415,4277,4126,4492,4523,4759,4962,5058,5242,5586,5885,6048,6143,6107
16,BURSA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,22025,21879,21384,20495,19719,18641,18051,17625,17480,17089,16431,16213,15652,16650,16903,17400,17919,18028,18496,18988,19400,19387,20091,19949
17,ÇANAKKALE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,10576,10610,10652,10711,10500,10234,9986,9611,9645,9515,9282,9147,8908,9223,9384,9611,9764,9793,9941,10406,10775,10707,10578,10451
18,ÇANKIRI,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,1723,1708,1726,1718,1683,1656,1627,1569,1574,1602,1566,1532,1542,1696,1718,1795,1793,1832,1883,1981,2128,2269,2171,2163
19,ÇORUM,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,7526,7598,7714,7712,7624,7040,6608,6255,6151,6005,5904,5717,5685,6467,6620,6805,7030,7114,7291,7696,8024,8226,8328,8081
20,DENİZLİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,17445,17664,17987,18351,18671,18374,18111,17531,17491,17431,17129,16982,16587,17289,17974,18855,19718,19884,20271,22101,22563,22927,23436,23417
21,DİYARBAKIR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,13132,13502,13988,15048,14652,15004,15424,15505,16060,15982,15703,15515,15435,15309,15382,14584,14466,14473,14378,15177,16093,15889,16087,15515
22,EDİRNE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,8302,8316,8260,8253,8126,8001,7934,7864,7821,7734,7550,7511,7521,8523,8725,8960,9086,8948,8907,9046,9132,9094,8280,8120
23,ELAZIĞ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6520,6717,7051,7124,7149,6931,6958,6732,6831,6878,6883,6853,6837,7448,7652,7883,8220,8240,8155,8142,8352,8003,7805,7612
24,ERZİNCAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2879,2887,2834,2925,2928,2935,2925,2935,2850,2665,2578,2540,2422,2616,2670,2781,2782,2826,2797,2879,2951,2922,2858,2853
25,ERZURUM,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,8836,8700,9358,9448,9368,9122,9060,9041,8939,8606,8374,8129,8010,8156,8184,8148,8260,8288,8318,8520,8738,8703,8542,8358
26,ESKİŞEHİR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5565,5432,5303,4823,4698,4447,4264,4044,3899,3779,3676,3524,3179,3473,3560,3652,3700,3718,3779,3876,3951,3923,4280,4336
27,GAZİANTEP,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,21207,22452,23901,21149,18143,17208,16786,16552,16335,16093,15805,15723,15553,16018,16336,16146,16116,15603,15705,16152,16513,16670,16694,16825
28,GİRESUN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,8917,8892,8940,8949,8796,8708,8670,8503,8511,8357,8194,8024,7843,8286,8285,8331,8504,8418,8373,8407,8541,8423,8072,7740
29,GÜMÜŞHANE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2166,2198,2230,2198,2178,2096,2025,1993,2001,1974,1942,1743,1639,1656,1646,1718,1744,1752,1754,1823,1913,1889,1808,1824
30,HAKKARİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,1576,1597,1791,1872,1902,2265,2556,2749,2977,2927,2737,2592,2589,2593,2564,2653,2942,3119,3109,3402,3496,3816,4158,3967
31,HATAY,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,20206,19794,20578,20879,20947,21177,21238,21163,21073,21061,21816,22406,22616,24040,24849,25242,25818,25306,25765,26843,28089,27847,25922,25576
32,ISPARTA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6037,6138,6325,6383,6399,6110,5999,5758,5650,5549,5359,5215,5070,5354,5532,5647,5827,5850,6016,6244,6554,6371,6233,6284
33,İÇEL,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,21395,21791,22275,22777,21508,20671,20239,19999,19669,19160,18830,18390,18121,19055,19381,19341,19818,19811,19957,20491,20979,21008,21224,20579
34,İSTANBUL,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,66090,64303,59791,55758,48511,47416,45423,43783,42575,41582,40517,39975,39240,43112,44669,45545,46397,46382,46261,46560,47073,46711,49754,49959
35,İZMİR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,37639,37141,36780,34910,33945,33165,32313,31135,30306,29152,28438,27940,27430,28578,28807,29195,29753,29428,29550,30252,30824,30823,30831,31084
36,KARS,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4198,4151,4279,4383,4327,4363,4270,4015,4007,3882,3605,3456,3266,3200,3167,3159,3235,3223,3245,3348,3347,3286,3207,3114
37,KASTAMONU,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5951,5881,6063,6088,6049,5831,5850,5554,5556,5465,5330,5207,5072,5474,5558,5702,5788,5800,5918,6141,6459,6096,5785,5559
38,KAYSERİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,9009,8801,8962,8621,8200,7939,7880,7608,7349,7321,7186,6976,6780,7284,7434,7649,7800,7782,7828,7942,8124,7759,7985,7903
39,KIRKLARELİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6712,6685,6678,6711,6750,6309,6049,5913,5870,5690,5524,5444,5450,6090,6219,6361,6599,6591,6711,6884,6998,6901,6785,6707
