|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||2020|22.0|12.0|17.0|8.0|7.0|57.0|17.0|6.0|9.0|21.0|9.0|24.0|4.0|7.0|4.0|6.0|7.0|8.0|9.0|14.0|17.0|26.0|17.0|9.0|11.0|11.0|14.0|23.0|12.0|13.0|17.0|9.0|4.0|20.0|29.0|3.0|14.0|8.0|7.0|8.0|16.0|25.0|3.0|12.0|38.0|19.0|12.0|14.0|10.0|21.0|21.0|8.0|24.0|13.0|8.0|38.0|16.0|25.0|8.0|16.0|11.0|16.0|6.0|10.0|28.0|10.0|15.0|19.0|7.0|12.0|12.0|3.0|19.0|7.0|13.0|12.0|21.0|48.0|38.0|12.0|7.0|
||2021|22.0|12.0|17.0|8.0|7.0|64.0|17.0|6.0|9.0|21.0|9.0|24.0|4.0|9.0|4.0|6.0|7.0|8.0|9.0|14.0|18.0|26.0|17.0|9.0|11.0|11.0|14.0|23.0|12.0|13.0|17.0|9.0|4.0|23.0|29.0|3.0|14.0|8.0|7.0|8.0|19.0|25.0|3.0|12.0|39.0|19.0|12.0|14.0|10.0|21.0|21.0|8.0|24.0|13.0|8.0|38.0|16.0|25.0|8.0|16.0|14.0|16.0|7.0|10.0|28.0|10.0|15.0|19.0|7.0|12.0|13.0|3.0|19.0|7.0|13.0|13.0|21.0|62.0|40.0|12.0|7.0|
||2022|22.0|12.0|18.0|7.0|7.0|72.0|17.0|6.0|9.0|21.0|9.0|24.0|4.0|11.0|3.0|6.0|7.0|8.0|9.0|13.0|18.0|26.0|17.0|9.0|10.0|12.0|14.0|23.0|12.0|13.0|17.0|9.0|4.0|23.0|30.0|3.0|14.0|7.0|7.0|8.0|19.0|26.0|3.0|13.0|39.0|19.0|12.0|13.0|10.0|21.0|21.0|8.0|24.0|13.0|8.0|30.0|15.0|25.0|8.0|16.0|15.0|19.0|7.0|10.0|26.0|10.0|14.0|19.0|7.0|11.0|14.0|3.0|18.0|7.0|13.0|13.0|19.0|69.0|40.0|12.0|7.0|
||2023|23.0|12.0|18.0|7.0|8.0|75.0|20.0|6.0|9.0|21.0|9.0|26.0|4.0|11.0|3.0|7.0|7.0|8.0|9.0|13.0|19.0|25.0|18.0|9.0|10.0|12.0|14.0|23.0|12.0|14.0|17.0|9.0|4.0|23.0|29.0|4.0|15.0|7.0|7.0|9.0|19.0|28.0|4.0|16.0|40.0|19.0|12.0|13.0|10.0|21.0|22.0|11.0|23.0|15.0|8.0|30.0|15.0|25.0|8.0|16.0|16.0|19.0|7.0|10.0|23.0|10.0|14.0|19.0|7.0|8.0|14.0|3.0|18.0|9.0|13.0|13.0|19.0|79.0|44.0|12.0|7.0|
||2024|22.0|13.0|17.0|7.0|8.0|76.0|20.0|6.0|9.0|22.0|9.0|26.0|4.0|12.0|3.0|7.0|7.0|8.0|9.0|13.0|19.0|25.0|18.0|9.0|10.0|12.0|13.0|22.0|12.0|14.0|18.0|9.0|4.0|23.0|32.0|5.0|15.0|7.0|8.0|9.0|18.0|29.0|4.0|16.0|39.0|18.0|11.0|13.0|10.0|19.0|21.0|12.0|22.0|15.0|8.0|29.0|15.0|25.0|8.0|16.0|17.0|20.0|8.0|10.0|22.0|10.0|14.0|17.0|7.0|8.0|20.0|4.0|18.0|9.0|13.0|13.0|19.0|79.0|44.0|12.0|7.0|
Halk Kütüphanelerindeki Kitap Sayısı|Ölçüm bazında|2014|275516.0|126574.0|260403.0|118285.0|156983.0|1275774.0|300575.0|53294.0|130423.0|282244.0|95454.0|398766.0|78831.0|76856.0|70389.0|139001.0|97322.0|113912.0|165193.0|202443.0|270012.0|329575.0|163804.0|83941.0|209799.0|118440.0|154919.0|337829.0|223507.0|169102.0|187109.0|111113.0|61315.0|237191.0|428387.0|66723.0|147678.0|97960.0|111489.0|124771.0|227929.0|302758.0|42276.0|144367.0|526418.0|198517.0|142776.0|125389.0|143276.0|194199.0|299129.0|106706.0|279027.0|228026.0|117369.0|452066.0|155649.0|260755.0|92578.0|184855.0|144539.0|234993.0|97164.0|149855.0|382966.0|142352.0|190771.0|234281.0|88243.0|140377.0|118729.0|44510.0|199845.0|118330.0|165616.0|204009.0|311092.0|1236464.0|384133.0|180941.0|65648.0|
||2015|298569.0|137680.0|263278.0|129807.0|166631.0|1347968.0|311277.0|58741.0|135605.0|295760.0|106894.0|422009.0|89038.0|81824.0|73190.0|145670.0|103115.0|134990.0|169000.0|200638.0|280511.0|348179.0|166999.0|96614.0|217145.0|124355.0|161890.0|345781.0|232480.0|192604.0|210620.0|115529.0|72760.0|248176.0|447211.0|69296.0|172784.0|107162.0|114681.0|141810.0|241701.0|307824.0|45652.0|172045.0|552310.0|216237.0|149112.0|129993.0|146443.0|208869.0|311883.0|117878.0|303808.0|243242.0|123188.0|463311.0|154313.0|280018.0|104683.0|193633.0|156734.0|260871.0|99633.0|161718.0|410667.0|151028.0|202966.0|255032.0|91153.0|134077.0|115725.0|52088.0|202438.0|129529.0|178776.0|215773.0|312490.0|1288799.0|413734.0|191694.0|67762.0|
||2016|307929.0|149460.0|272898.0|132398.0|177578.0|1436685.0|320504.0|56566.0|139866.0|304122.0|115191.0|422605.0|95550.0|86163.0|78807.0|145784.0|105052.0|131149.0|173192.0|200085.0|307440.0|362096.0|176727.0|107378.0|235412.0|129060.0|164333.0|352443.0|236812.0|207002.0|240148.0|117323.0|75380.0|267041.0|480365.0|73164.0|183232.0|116172.0|120119.0|149993.0|253623.0|308596.0|44670.0|191661.0|564253.0|217293.0|155025.0|141557.0|151064.0|216631.0|332886.0|119965.0|320072.0|256194.0|129698.0|484776.0|145141.0|297939.0|112918.0|198231.0|152305.0|275171.0|92802.0|178024.0|426755.0|158002.0|218891.0|258352.0|93331.0|141578.0|125268.0|50244.0|210576.0|132655.0|179438.0|224943.0|318717.0|1318870.0|411910.0|194177.0|70762.0|
||2017|339956.0|157217.0|279447.0|137164.0|198683.0|1576875.0|334156.0|62431.0|143693.0|310229.0|121214.0|424652.0|103664.0|101611.0|83224.0|152036.0|118379.0|138045.0|180797.0|210048.0|343150.0|370720.0|184273.0|102889.0|256655.0|167678.0|151609.0|345209.0|251505.0|218385.0|265589.0|125971.0|78756.0|299019.0|517775.0|76610.0|204338.0|125501.0|124497.0|153912.0|248820.0|326043.0|46603.0|209998.0|564899.0|242906.0|165279.0|153899.0|164755.0|225386.0|354355.0|136182.0|332378.0|265082.0|135836.0|494041.0|154529.0|329440.0|123044.0|215308.0|160270.0|286866.0|97916.0|183015.0|448814.0|177809.0|231063.0|270175.0|95057.0|162765.0|126297.0|54123.0|227331.0|146903.0|203871.0|245960.0|350175.0|1393875.0|443380.0|197255.0|64348.0|
||2018|352145.0|172920.0|290810.0|136289.0|209242.0|716929.0|359170.0|64876.0|145300.0|349815.0|125288.0|434441.0|112604.0|112160.0|94473.0|160969.0|130890.0|149725.0|191366.0|229245.0|335019.0|379747.0|186829.0|125178.0|265242.0|180385.0|159368.0|357053.0|264590.0|223672.0|293858.0|136930.0|69925.0|300598.0|536464.0|83792.0|200979.0|132120.0|133457.0|152879.0|252801.0|329386.0|50130.0|218051.0|596035.0|265227.0|156484.0|173787.0|177715.0|239431.0|385023.0|132588.0|337281.0|276791.0|138681.0|498054.0|163108.0|350839.0|128405.0|219520.0|170310.0|304466.0|92406.0|196189.0|459194.0|189281.0|230517.0|279611.0|96415.0|168238.0|133553.0|67342.0|227392.0|154226.0|215100.0|253573.0|360613.0|1460702.0|481582.0|206137.0|73647.0|
