index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,,#indicator+value+num,,,,,
28,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,,1990,1990,,,TUR,Turkey,,,,,8680,8680.00000,,,,,
29,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,,1992,1992,,,TUR,Turkey,,,,,18676,18676.00000,,,,,
30,MALARIA_15049,Malaria outpatient cases,,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,,,,358,358.00000,,,,,
31,MALARIA_15137,Number of households targeted for spraying,,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,82400,82400.00000,,,,,
32,MALARIA_15283,Government health budget (USD),,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,99999999,99999999.00000,,,,,
33,MALARIA_15283,Government health budget (USD),,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,,2006,2006,,,TUR,Turkey,,,,,99999999,99999999.00000,,,,,
34,MALARIA_15284,Government budget for malaria (USD),,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,1060931,1060931.00000,,,,,
35,MALARIA_15284,Government budget for malaria (USD),,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,1648831,1648831.00000,,,,,
36,MALARIA_15284,Government budget for malaria (USD),,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,33642069,33642069.00000,,,,,
37,MALARIA_15310,Gov. expenditure on malaria (USD),,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,10000,10000.00000,,,,,
38,MALARIA_15310,Gov. expenditure on malaria (USD),,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,,,,10000,10000.00000,,,,,
39,MALARIA_15310,Gov. expenditure on malaria (USD),,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,10000,10000.00000,,,,,
40,MALARIA001,Malaria - number of reported deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2967,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,0,0.00000,,,,,
41,MALARIA001,Malaria - number of reported deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2967,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,0,0.00000,,,,,
42,MALARIA001,Malaria - number of reported deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2967,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,,2011,2011,,,TUR,Turkey,,,,,4,4.00000,,,,,
43,MALARIA001,Malaria - number of reported deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2967,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,,,,3,3.00000,,,,,
