index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
33,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,100.0,100.00000,,,,,
34,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,96.0,96.00000,,,,,
35,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,62.0,62.00000,,,,,
36,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,89.0,89.00000,,,,,
37,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,80.0,80.00000,,,,,
38,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,69.0,69.00000,,,,,
39,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,92.0,92.00000,,,,,
40,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,75.0,75.00000,,,,,
41,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,100.0,100.00000,,,,,
42,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,65.0,65.00000,,,,,
43,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,100.0,100.00000,,,,,
44,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,80.0,80.00000,,,,,
45,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,86.0,85.71429,,,,,
46,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,100.0,100.00000,,,,,
47,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,100.0,100.00000,,,,,
48,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,97.0,96.96970,,,,,
49,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,89.0,88.88889,,,,,
50,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,93.0,93.33333,,,,,
51,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,54.0,53.84615,,,,,
52,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2017.0,2017,,EUR,Europe,,TUR,2017,2017,Turkey,,100.0,100.00000,,,,,
